Product_Name,Brand,Category,MRP,Selling_Price,Discount_Percent,Rating,Rating_Count,Review_Count,Pack_Size,In_Stock,Product_URL,Scraped_Date,Price_Range
"Be Bodywise Biotin Hair Gummies - Zinc, Fibre, Multivitamin For Stronger Hair, Nails -No Added Sugar",Be Bodywise,Healthcare,999,849,15,4.3,12264,529,60 gummies,In Stock,https://www.nykaa.com/be-bodywise-biotin-hair-gummies-zinc-fibre-multivitamin-for-stronger-hair-nails-no-added-sugar/p/16576533?root=footer_auto&ptype=product,2026-09-14,₹500–₹999
"HealthKart HK Vitals Skin Radiance Collagen Supplement Vitamin C, E, Sodium Hyaluronate - Orange",HealthKart,Healthcare,975,909,7,4.2,10121,332,200g,In Stock,https://www.nykaa.com/healthkart-hk-vitals-skin-radiance-collagen-supplement-with-biotin-orange/p/8660231?root=footer_auto&ptype=product,2026-09-14,₹500–₹999
Beautywise Skin Brilliance Glutathione Dual Action for Skin Brightening and Glow Capsules,Beautywise,Healthcare,2899,2261,22,4.5,1672,334,60 Capsules,In Stock,https://www.nykaa.com/beautywise-skin-brilliance-capsules/p/15963105?root=footer_auto&ptype=product,2026-09-14,"₹2,000+"
Miduty Liposomal Glutathione 85% Capsules,Miduty,Healthcare,2054,2054,0,4.2,412,80,30capsules,In Stock,https://www.nykaa.com/miduty-liposomal-glutathione-85percent-capsules/p/21495072?root=footer_auto&ptype=product,2026-09-14,"₹2,000+"
"Wellbeing Nutrition Pure Korean Marine Collagen Peptides, Fine Lines & Wrinkles, UnFlavoured",Wellbeing Nutrition,Healthcare,1799,1745,3,4.3,2050,149,200g,In Stock,https://www.nykaa.com/wellbeing-nutrition-pure-korean-marine-collagen-supplements-unflavoured/p/16695212?root=footer_auto&ptype=product,2026-09-14,"₹1,000–₹1,999"
"OZiva Bioactive Gluta Fizzy (L-Glutathione), Reduce Cellular Damage on Skin - Strawberry (Pack of 4)",Oziva,Healthcare,4200,2375,43,4.2,2710,151,60 Tablets,In Stock,https://www.nykaa.com/oziva-bioactive-gluta-fizzy-l-glutathione-asthaxanthin-to-reduce-cellular-damage-strawberry/p/16164141?root=footer_auto&ptype=product,2026-09-14,"₹2,000+"
Glutone 1000 Setria L-Glutathione & Vitamin C Effervescent Tablets For Skin Brightening,Glutone,Healthcare,2447,2447,0,4.1,503,25,15 tablets,In Stock,https://www.nykaa.com/glutone-1000-l-glutathione-vitamin-c-tablets-for-skin-brightening/p/2785313?root=footer_auto&ptype=product,2026-09-14,"₹2,000+"
Optimum Nutrition (ON) Gold Standard 100% Whey Protein Powder - Double Rich Chocolate,Optimum Nutrition,Healthcare,11329,11329,0,4.4,2042,103,5Lbs,In Stock,https://www.nykaa.com/optimum-nutrition-on-gold-standard-100percent-whey-protein-powder-double-rich-chocolate/p/12199747?root=footer_auto&ptype=product,2026-09-14,"₹2,000+"
Plix The Plant Fix ACV CQR Plus Effervescent Tablets For Fat Reduction - Pack Of 2,Plix,Healthcare,1500,1245,17,4.1,135,4,30tablets,In Stock,https://www.nykaa.com/plix-the-plant-fix-acv-cqr-plus-effervescent-tablets-for-fat-reduction-pack-of-2/p/24962964?root=footer_auto&ptype=product,2026-09-14,"₹1,000–₹1,999"
HealthKart HK Vitals Glutathione 15 Effervescent Tablets - Orange Flavour (Pack of 2),HealthKart,Healthcare,1698,1299,23,4.3,443,15,30 Tablets,In Stock,https://www.nykaa.com/healthkart-hk-vitals-glutathione-15-effervescent-tablets-orange-flavour-pack-of-2/p/15127655?root=footer_auto&ptype=product,2026-09-14,"₹1,000–₹1,999"
Miduty Liposomal Glutathione 85% Capsules,Miduty,Healthcare,2054,2054,0,4.2,412,80,30capsules,In Stock,https://www.nykaa.com/mproductIduty-liposomal-glutathione-85percent-capsules/p/21495072?root=footer_auto&ptype=product,2026-09-14,"₹2,000+"
